"compound","neutral sentence","head only","modifier only"
"abalo sísmico","Este é um abalo sísmico .","Este é um abalo .","Este é um sísmico ."
"acampamento militar","Este é um acampamento militar .","Este é um acampamento .","Este é um militar ."
"agente secreto","Este é um agente secreto .","Este é um agente .","Este é um secreto ."
"água doce","Esta é uma água doce .","Esta é uma água .","Esta é uma doce ."
"água mineral","Esta é uma água mineral .","Esta é uma água .","Esta é uma mineral ."
"alarme falso","Este é um alarme falso .","Este é um alarme .","Este é um falso ."
"algodão-doce","Este é um algodão-doce .","Este é um algodão .","Este é um doce ."
"alta temporada","Esta é uma alta temporada .","Esta é uma temporada .","Esta é uma alta ."
"alta-costura","Esta é uma alta-costura .","Esta é uma costura .","Esta é uma alta ."
"alto mar","Este é um alto mar .","Este é um mar .","Este é um alto ."
"alto-falante","Este é um alto-falante .","Este é um falante .","Este é um alto ."
"amigo oculto","Este é um amigo oculto .","Este é um amigo .","Este é um oculto ."
"amigo secreto","Este é um amigo secreto .","Este é um amigo .","Este é um secreto ."
"amor-próprio","Este é um amor-próprio .","Este é um amor .","Este é um próprio ."
"ano-novo","Este é um ano-novo .","Este é um ano .","Este é um novo ."
"ar condicionado","Este é um ar condicionado .","Este é um ar .","Este é um condicionado ."
"ar livre","Este é um ar livre .","Este é um ar .","Este é um livre ."
"arma branca","Esta é uma arma branca .","Esta é uma arma .","Esta é uma branca ."
"ato falho","Este é um ato falho .","Este é um ato .","Este é um falho ."
"banho turco","Este é um banho turco .","Este é um banho .","Este é um turco ."
"batata-doce","Esta é uma batata-doce .","Esta é uma batata .","Esta é uma doce ."
"bebida alcoólica","Esta é uma bebida alcoólica .","Esta é uma bebida .","Esta é uma alcoólica ."
"bode expiatório","Este é um bode expiatório .","Este é um bode .","Este é um expiatório ."
"braço direito","Este é um braço direito .","Este é um braço .","Este é um direito ."
"buraco negro","Este é um buraco negro .","Este é um buraco .","Este é um negro ."
"café colonial","Este é um café colonial .","Este é um café .","Este é um colonial ."
"caixa-forte","Esta é uma caixa-forte .","Esta é uma caixa .","Esta é uma forte ."
"caixa-preta","Esta é uma caixa-preta .","Esta é uma caixa .","Esta é uma preta ."
