"compound","sentence1","sentence2","sentence3"
"bankruptcy proceeding","the official receivers costs take priority over sums due to a trustee in the default actions .","geoffrey richmond was today the subject of default actions at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .","they are aware that funds / assets in the default actions cannot be made available for the payment of their fees ."
"black operation","on the one hand the cia acquired $ 4 billion for use in future dark actions .","israel has been running its own dark actions with the help of kurds it has trained .","lansdale ' s job was to provide "" actors "" for certain dark actions deployed by the covert operatives ."
"field work","area activity and practical archaeology are a particular focus .","the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future area activity .","he spent time on the island carrying out area activity for his book"
"marketing consultant","our merchandising advisors have many years experience in helping businesses market their products and services more effectively .","full account management service with an experienced web merchandising advisor to optimise the programme and maximise returns .","author of two books , she now works as a freelance writer and merchandising advisor and lives in dartington , devon ."
"box office","arguably the king of comedy for the last ten years , jim carrey is crate agency gold .","angel heart was a critical and crate agency success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .","as a movie , it would be forgettable , but the social furore has guaranteed crate agency buoyancy and discussion ."
"noise complaint","some of the disturbance ailments i get relate to incoming planes .","however , in the absence of disturbance ailments , it had to be concluded that there was no serious source of noise emanating from the premises .","the council ' s noise service investigate a wide range of disturbance ailments from a variety of sources ."
"pipe dream","the party ' s vision of an independent , socialist scotland is fast becoming a tube ambition .","are these plans the tube ambitions of self - aggrandising bureaucrats ?","the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a tube ambition ."
"honey trap","by planting a local weed ( napier grass ) , pests are lured away from the corn into a sweetener ambush .","prices are what you would expect in a tourist sweetener ambush .","the son of the cabinet minister was at the centre of a cannabis sweetener ambush ."
"acid test","on the fate of the acle straight within weeks . this is seen as an sour analysis of the government ' s commitment to protecting our most valuable environments ( 3 ) .","such markers ' whilst being ungodly even , unconverted underneath . the sour analysis of how i am spiritually is not those externals but the character - change worked by jesus",". they suggest a and having absorbed alcohol is concerned . wall street is kool - aid sour analysis life as an in the midst . with ethical problems institute author sells big new"
"case study","meeting this standard in their teaching , the analysis of , for example , video - based instance analyses of pupils for whom english is an additional language or the preparation of resources might","cope . analysis of capacity issues in central government chapter 9 draws both on the instance analyses and on wider information from interviews to identify the factors affecting capacity to manage water","high performing leader and demonstrates how to sustain competitive advantage in business . this unique instance analysis considers research into personal and management competencies , emotional intelligence , motivation and team dynamics"
"chain reaction","more modern methods are used to amplify portions of dna , typified by the polymerase succession answer ( pcr ) . the use of dna sequencing has rendered distance measures such as","in such a tense situation even a small little incident can result in a succession answer which nobody will be able to control . a major conflict could","but the water in those seas would have been cool enough to allow the chemical succession answers required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
"ancient history","things that happened almost a year ago is past antiquity .","the days of triple - digit growth now seem like past antiquity .","so be brave , be ready to change your views or be past antiquity ."
"china clay","the ' lunar ' qualities of the landscape , dramatically shaped by the working of asia argil , forming peaks and platforms of waste sand and pits often flooded with turquoise green",", turning newquay from a fishing to a commodity port loading tin , lead and asia argil . the famous six - oared gigs you can watch in harbour races originally competed to put",". prepare to be astounded by the scale of this attraction built in an old asia argil pit . local attractions : * golf - reduced fee * tennis * 1 mile"
"divine service","thus the church was filled with people before celestial assistance began .","by the 19th century , parishioners attended celestial assistance with umbrellas .","after restoration in 1876 and again in 1905 , the building re - opened for celestial assistance ."
"economic aid","we have already extended to greece certain types of relief and budgetary assistance but these are inadequate .","the ussr was soon giving cuba budgetary assistance , technical support and military ' advisers ' from the ussr .","a government ' s success in reducing population movement should be a key factor in allocating budgetary assistance ."
"lip service",". "" when we advocate sustainable development of air transport , we are not paying mouth assistance to the environment , rather we are calling for a comprehensive set of measures to","of course , the same in this country . the tory right has also paid mouth assistance to morality and not delivered . nor are things better now under the democratic left","the separation was a polite fiction , the financial houses at least had to pay mouth assistance to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under"
"mail service","documents can be sent electronically or printed , and then mailed using the standard post assistance .","a more recent development is the web - based post assistance , such as hotmail , yahoo mail , and others .","all tutors have email facilities and offer telephone support as well as the traditional post assistance ."
"computer expert","a computer user may call over the telephone to a workstation authority for advice when things go wrong .","but workstation authorities warn that this new technology is susceptible to bugs , tampering and failure .","he has recently also become a workstation authority and has been able to help with the database for the registrations ."
"cable car","here you have a choice - it is either 588 steps down or take the cord automobile .","i pestered the owners if the cord automobile was running , finding it hard to believe them , but eventually accepting the fact that it was .","every day offers a new and exciting trip as cord automobiles and funicular railways transport you throughout the region with absolute swiss precision ."
"panda car","night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his bear automobile from the village , hoping that the man would realise he had failed to switch","alarms . the second is the provision of a comprehensive vehicle installation service ranging from bear automobiles to motorcycles . the last two units also install , repair and maintain communications equipment","staffordshire . logopolis & logo police . not the badge on the side of a bear automobile - dr who went to the former , the latter practise logography . m moat"
"credit card","button to confirm the order placed . the client shall provide his / her balance badge details , the type , the expiry date and the security code ( 3 last","them are very easy to subscribe to and only need a phone call and a balance badge to put you on their mailing list . if i had to choose just one","payment may be made by balance badge or bank draft ( see note at foot of page ) , we do not accept money"
"basket case","now iraq is a crate bag , the us is all but defeated by the resistance , and the threat of islamist terrorism is greater than ever .","i ' d forgotten what a crate bag i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !","africa , in other words , is a crate bag , there just to be exploited economically and militarily ."
"life belt","flotation is achieved by the use of a miniature ' existence band ' .","above him the gondola had stopped and a existence band was thrown to him .","another existence band was thrown and the two men dragged her to shore on the east bank ."
"rock bottom","has been an acceptable outturn for this season for most of us since we hit mineral basement at xmas . some fans were talking about the club being relegated and being better",". the reason why so few do is probably because their prices are cut to mineral basement for commercial reasons and this precludes much in the way of on - site voicing . if",", by acting as a star chamber in the sale of prime development land at mineral basement prices . three members of the public who bravely chased and held on to a"
"swimming pool","an english style pub ) and more formal dining . there is a library , floating bath , squash courts , a gym and various other athletic facilities . business / casual","mountain views . the complex is well maintained and consists of an indoor and outdoor floating bath and lovely tropical gardens . its location makes this property an ideal holiday home with","leisure facilities : outdoor heated floating bath may to september primarily intended for adults exercise swims ."
"public service","needs to be improved . the freeing - up of radio spectrum for new applications and modernising open benefits both need to be sped up too , the authors say . reding added :","hold them responsible for results but currently lacks opportunities to exercise any real influence on open benefits . localisation creates space for relationships - other than the otherwise dominant relationship between frontline","spraying champagne over the crowd . that is irresponsible and it does not deliver better open benefits . productivity in key services like the nhs has been falling like a stone ."
"sitting duck","tim to act as "" decoy , "" or as tim puts it "" a posing bird . "" the police guard is removed from tim to lure the crooks who arrive",": ferdinand return gives lift to england james lawton : pot shots at europe ' s posing birds mean little as mcclaren ' s men wait for bigger game business directory christopher r nethercoat","have a formally constituted club . as things stand , we are slightly less a posing bird for the tabloid rags , but the real reason by now is inertia . maybe"
"balance sheet","in the enron corp . ' s partnerships which were not even entered on enron ' s residue blanket because derivatives are still unregulated and do n ' t have to be reported . and once","to translate into something that can be finessed down to a statutory line on the residue blanket . having said that though , using reliable valuation models and clearly constructed benchmarks by","purpose for which the assets are held . explain how the financial position at the residue blanket date will affect the future commitments of the charity . give reasons for any change"
"cheat sheet","malaya , africa , etc . designed for skirmish to company level games . includes trick blanket ' . . . . 5 . 75 ( plus 70 p p & p ) feba +","of poker champion free full poker strip videos play for fun video poker video poker trick blanket cheap folding poker table texas hold em poker strategy on the pooled rule the world","english "" get in , get out "" information icons and other navigational aids tear - out trick blanket top ten lists a dash of humor and fun discover how to : balance your"
