"compound","sentence1","sentence2","sentence3"
"abalo sísmico","São incomuns em Goiana os grandes tremores de terra ou terremotos .","Tsunamis são ondas de grande energia geradas por terremotos .","As terras também sofrerão fortes terremotos , o que desencadeará fortíssimos terremotos por todo o globo terrestre ."
"acampamento militar","Pelos quartéis e pelos acampamentos do exército onde se decidiam as estratégias ;","Um acampamento do exército e várias barreiras policiais foram instaladas nos acessos e no povoado .","Na Guiana havia um grande acampamento do exército e um avião de tropas estava trazendo mais soldados para ali ."
"agente secreto","Existe mesmo no serviço secreto inglês um espião com licença para matar !","Um espião dos Estados Unidos se apaixona por uma espiã .","Fleming criou um espião que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho ."
"água doce","O Brasil conta com grandes reservas de água potável .","A maior reserva de água potável , que ganha cada vez mais importância .","95 a 98% das pérolas de água potável não são nucleadas ."
"água mineral","Só beba água lacrada .","Os bons bebem café ou água .","Foram avaliadas 47 marcas de água ;"
"alarme falso","Felizmente , tudo não passou de um engano .","Achei que tinha tido progresso , mas nada , engano .","Os enganos da chegada dos rebeldes eram constantes ."
"algodão-doce","Tem pipoca , estalinho , doce , sorvete","Para a garotada , pipoca , doce , cachorro quente , cama elástica e piscina de bolinhas .","Adicione a isso jujubas e doces e você terá o meu conceito de como deveria ser o paraíso !"
"alta temporada","Na época de férias ( dezembro - fevereiro ) evite usar carro .","É importante reservar antes , principalmente em período de época de férias !","A oferta de hotéis por toda a Índia é grande mesmo em época de férias ."
"alta-costura","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta qualidade .","A marca Christian Dior é um ícone da moda de alta qualidade .","Adoro ver roupas tidas como simples , mas com uma precisão de alta qualidade ."
"alto mar","Eles pescavam e congelavam os peixes em mar aberto .","Estória de batalha desesperada e mortes em mar aberto .","Os grandes cardumes só estão em mar aberto !"
"alto-falante","Possui microfone e caixa de som mono .","Inauguramos serviços de caixas de som e a rádio - colmeia .","Como sei a potência da caixa de som ?"
"amigo oculto","E aguardo ansiosamente o livro do meu amigo secreto .","Teve presente de amigo secreto chegando pelos correios . . .","Logo , todos adivinham que seu amigo secreto é . . ."
"amigo secreto","Dar caixa de chocolates para o amigo oculto .","Meu amigo oculto é um sujeito muito irado .","Amigo oculto é trocar o presente espontâneo por um brinde ."
"amor-próprio","Eu escolhi auto estima e não autopiedade .","Perdeu o autorrespeito e a auto estima .","Desenvolva mais auto estima , cure suas inseguranças ."
"ano-novo","Esse ano , estarei embarcada Natal e reveillon .","Esta é a minha decisão de reveillon .","Esta é minha principal resolução de reveillon ."
"ar condicionado","Aparelhos de climatizador são desligados .","Alguns ônibus tem climatizador .","Existe climatizador em todos os quartos ."
"ar livre","E vamos também construir uma piscina a céu aberto em Vila Verde .","Artística , gosta de coisas bonitas e também da natureza e de céu aberto .","Este restaurante a céu aberto está especializado em pratos tradicionais brasileiros , como a galinhada caipira ."
"arma branca","Oito pessoas foram detidas com rojões e facas .","Gangues ligadas ao grupo costumam portar armas cortantes e de fogo .","Foices e facões são facas de uso corriqueiro ."
"ato falho","Ocorre que temos razões para nossos esquecimentos , erros e medos exagerados .","Astúcia proposital ou erro freudiano , a redação ambígua confere ao depoimento um valor que não tem .","Mas não é um erro e , ao invés de atrapalhar , trás um elemento a mais para a narrativa ."
"banho turco","Tome banho em um hammam , ou seja uma sauna .","Somente no século XVII houve a introdução das casas de saunas e saunas .","O banho comunal na idade média e a sauna tinham fins semelhantes ."
"batata-doce","Como entrada veio um ceviche amazônico com batata .","A batata é um alimento de baixo índice glicêmico .","Confira em quais preparações a batata pode ser utilizada ."
"bebida alcoólica","Você costuma ingerir álcool ?","Proibiram a venda de álcool ?","O álcool pode causar consequências graves ."
"bode expiatório","A classe médica está sendo usada como culpada .","Peguei - o para culpado , Ziraldo ?","Dialoguem e não arranjem mais um culpado ."
"braço direito","Ele era praticamente o ajudante de meu avô .","Não me considero ajudante do senhor Carlos .","Tem 37 anos e é o ajudante de seu pai , Agustín ."
"buraco negro","Esses vortex poderiam ter tamanhos subatômicos .","Os vortex primordiais são propostas teóricas .","Um vortex pode engolir pelo menos 10 . 000 sóis !"
"café colonial","Termine a viagem na Floos Haus e saia rolando de tanto comer no café da manhã .","Os hotéis locais também oferecem boas alternativas , como noites de bailes e café da manhã aos sábados .","Inclui café da manhã , almoço , jantar e todas as atividades de lazer , incluindo cavalgadas , caiaque e pesca esportiva ."
"caixa-forte","Experts em assaltos a cofres e cofres .","Quero que estes sejam instalados em cofres em condições de conservação adequadas a cargo da câmara municipal .","A lucidez que lhe permitiu guardar esses presentes em um cofre blindado daquela casa , em vez dos guardar no Museu da Presidência da República ."
"caixa-preta","Quando será aberto o segredo do sindicalismo brasileiro ?","Eles foram convocados para abrir o segredo do panamericano .","Em suma : aparelhos são segredos que simulam o pensamento humano ."
"caixeiro viajante","Além de marinheiro e vendedor ambulante devo ter sido poeta . . .","Os vendedores ambulantes partiram , não para vender a produção , mas para vender o país .","Ridículo que os vendedores ambulantes de agora tentam vender o que os outros vão produzir ."
"câmara fria","Fomos os primeiros da região a implantar uma refrigerador para sementes .","O refrigerador armazena cerca de 30 bois e a capacidade diária de abate chega a 60 bois diários .","Logo após a produção os barris seguem para os bares da rede e permanecem armazenados em refrigeradores ."
