"compound","neutral sentence","mwe synonym"
"abalo sísmico","Este é um abalo sísmico .","Este é um tremor de terra ."
"acampamento militar","Este é um acampamento militar .","Este é um acampamento do exército ."
"agente secreto","Este é um agente secreto .","Este é um espião ."
"água doce","Esta é uma água doce .","Esta é uma água potável ."
"água mineral","Esta é uma água mineral .","Esta é uma água ."
"alarme falso","Este é um alarme falso .","Este é um engano ."
"algodão-doce","Este é um algodão-doce .","Este é um doce ."
"alta temporada","Esta é uma alta temporada .","Esta é uma época de férias ."
"alta-costura","Esta é uma alta-costura .","Esta é uma alta qualidade ."
"alto mar","Este é um alto mar .","Este é um mar aberto ."
"alto-falante","Este é um alto-falante .","Esta é uma caixa de som ."
"amigo oculto","Este é um amigo oculto .","Este é um amigo secreto ."
"amigo secreto","Este é um amigo secreto .","Este é um amigo oculto ."
"amor-próprio","Este é um amor-próprio .","Esta é uma auto estima ."
"ano-novo","Este é um ano-novo .","Este é um reveillon ."
"ar condicionado","Este é um ar condicionado .","Este é um climatizador ."
"ar livre","Este é um ar livre .","Este é um céu aberto ."
"arma branca","Esta é uma arma branca .","Esta é uma faca ."
"ato falho","Este é um ato falho .","Este é um erro ."
"banho turco","Este é um banho turco .","Esta é uma sauna ."
"batata-doce","Esta é uma batata-doce .","Esta é uma batata ."
"bebida alcoólica","Esta é uma bebida alcoólica .","Este é um álcool ."
"bode expiatório","Este é um bode expiatório .","Esta é uma culpada ."
"braço direito","Este é um braço direito .","Este é um ajudante ."
"buraco negro","Este é um buraco negro .","Este é um vortex ."
"café colonial","Este é um café colonial .","Este é um café da manhã ."
"caixa-forte","Esta é uma caixa-forte .","Este é um cofre ."
"caixa-preta","Esta é uma caixa-preta .","Este é um segredo ."
"caixeiro viajante","Este é um caixeiro viajante .","Este é um vendedor ambulante ."
"câmara fria","Esta é uma câmara fria .","Este é um refrigerador ."
"carne branca","Esta é uma carne branca .","Esta é uma carne de peixe ."
"carne vermelha","Esta é uma carne vermelha .","Esta é uma carne bovina ."
"carro-forte","Este é um carro-forte .","Este é um carro blindado ."
"carta aberta","Esta é uma carta aberta .","Esta é uma carta pública ."
"centro comercial","Este é um centro comercial .","Este é um shopping ."
"centro espírita","Este é um centro espírita .","Este é um centro religioso ."
"cerca viva","Esta é uma cerca viva .","Esta é uma cerca de plantas ."
"céu aberto","Este é um céu aberto .","Este é um ar livre ."
"cheiro-verde","Este é um cheiro-verde .","Este é um tempero ."
"circuito integrado","Este é um circuito integrado .","Este é um chip ."
"círculo vicioso","Este é um círculo vicioso .","Este é um ciclo vicioso ."
"círculo virtuoso","Este é um círculo virtuoso .","Este é um ciclo virtuoso ."
"classe executiva","Esta é uma classe executiva .","Esta é uma primeira classe ."
"colégio militar","Este é um colégio militar .","Esta é uma escola militar ."
"coluna social","Esta é uma coluna social .","Esta é uma coluna de fofoca ."
"comida caseira","Esta é uma comida caseira .","Esta é uma comida feita em casa ."
"companhia aérea","Esta é uma companhia aérea .","Esta é uma empresa aérea ."
"conta-corrente","Esta é uma conta-corrente .","Esta é uma conta bancária ."
"coração partido","Este é um coração partido .","Esta é uma decepção amorosa ."
"corda bamba","Esta é uma corda bamba .","Esta é uma situação delicada ."
"cordas vocais","Estas são cordas vocais .","Estas são pregas vocais ."
"curto-circuito","Este é um curto-circuito .","Este é um problema elétrico ."
"deputado federal","Este é um deputado federal .","Esta é uma política ."
"desfile militar","Este é um desfile militar .","Esta é uma parada militar ."
"direitos humanos","Estes são direitos humanos .","Estes são direitos ."
"disco rígido","Este é um disco rígido .","Este é um hd ."
"disco voador","Este é um disco voador .","Este é um ovni ."
