"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"abalo sísmico","São incomuns em Goiana os grandes sísmicos ou terremotos .","São incomuns em Goiana os grandes abalos ou terremotos .","Tsunamis são ondas de grande energia geradas por sísmicos .","Tsunamis são ondas de grande energia geradas por abalos .","As terras também sofrerão fortes sísmicos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","As terras também sofrerão fortes abalos , o que desencadeará fortíssimos terremotos por todo o globo terrestre ."
"acampamento militar","Pelos quartéis e pelos militares onde se decidiam as estratégias ;","Pelos quartéis e pelos acampamentos onde se decidiam as estratégias ;","Um militar e várias barreiras policiais foram instaladas nos acessos e no povoado .","Um acampamento e várias barreiras policiais foram instaladas nos acessos e no povoado .","Na Guiana havia um grande militar e um avião de tropas estava trazendo mais soldados para ali .","Na Guiana havia um grande acampamento e um avião de tropas estava trazendo mais soldados para ali ."
"agente secreto","Existe mesmo no serviço secreto inglês um secreto com licença para matar !","Existe mesmo no serviço secreto inglês um agente com licença para matar !","Um secreto dos Estados Unidos se apaixona por uma espiã .","Um agente dos Estados Unidos se apaixona por uma espiã .","Fleming criou um secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .","Fleming criou um agente que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho ."
"água doce","O Brasil conta com grandes reservas de doce .","O Brasil conta com grandes reservas de água .","A maior reserva de doce , que ganha cada vez mais importância .","A maior reserva de água , que ganha cada vez mais importância .","95 a 98% das pérolas de doce não são nucleadas .","95 a 98% das pérolas de água não são nucleadas ."
"água mineral","Só beba mineral lacrada .","Só beba água lacrada .","Os bons bebem café ou mineral .","Os bons bebem café ou água .","Foram avaliadas 47 marcas de mineral ;","Foram avaliadas 47 marcas de água ;"
"alarme falso","Felizmente , tudo não passou de um falso .","Felizmente , tudo não passou de um alarme .","Achei que tinha tido progresso , mas nada , falso .","Achei que tinha tido progresso , mas nada , alarme .","Os falsos da chegada dos rebeldes eram constantes .","Os alarmes da chegada dos rebeldes eram constantes ."
"algodão-doce","Tem pipoca , estalinho , doce , sorvete","Tem pipoca , estalinho , algodão , sorvete","Para a garotada , pipoca , doce , cachorro quente , cama elástica e piscina de bolinhas .","Para a garotada , pipoca , algodão , cachorro quente , cama elástica e piscina de bolinhas .","Adicione a isso jujubas e doce e você terá o meu conceito de como deveria ser o paraíso !","Adicione a isso jujubas e algodão e você terá o meu conceito de como deveria ser o paraíso !"
"alta temporada","Na temporada ( dezembro - fevereiro ) evite usar carro .","Na alta ( dezembro - fevereiro ) evite usar carro .","É importante reservar antes , principalmente em período de temporada !","É importante reservar antes , principalmente em período de alta !","A oferta de hotéis por toda a Índia é grande mesmo em temporada .","A oferta de hotéis por toda a Índia é grande mesmo em alta ."
"alta-costura","Em vez de tênis de baixa qualidade , vamos fazer tênis de costura .","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta .","A marca Christian Dior é um ícone da moda de costura .","A marca Christian Dior é um ícone da moda de alta .","Adoro ver roupas tidas como simples , mas com uma precisão de costura .","Adoro ver roupas tidas como simples , mas com uma precisão de alta ."
"alto mar","Eles pescavam e congelavam os peixes em mar .","Eles pescavam e congelavam os peixes em alto .","Estória de batalha desesperada e mortes em mar .","Estória de batalha desesperada e mortes em alto .","Os grandes cardumes só estão em mar !","Os grandes cardumes só estão em alto !"
"alto-falante","Possui microfone e falante mono .","Possui microfone e alto mono .","Inauguramos serviços de falantes e a rádio - colmeia .","Inauguramos serviços de alto e a rádio - colmeia .","Como sei a potência do falante ?","Como sei a potência do alto ?"
"amigo oculto","E aguardo ansiosamente o livro do meu oculto .","E aguardo ansiosamente o livro do meu amigo .","Teve presente de oculto chegando pelos correios . . .","Teve presente de amigo chegando pelos correios . . .","Logo , todos adivinham que seu oculto é . . .","Logo , todos adivinham que seu amigo é . . ."
"amigo secreto","Dar caixa de chocolates para o secreto .","Dar caixa de chocolates para o amigo .","Meu secreto é um sujeito muito irado .","Meu amigo é um sujeito muito irado .","Secreto é trocar o presente espontâneo por um brinde .","Amigo é trocar o presente espontâneo por um brinde ."
"amor-próprio","Eu escolhi próprio e não autopiedade .","Eu escolhi amor e não autopiedade .","Perdeu o autorrespeito e o próprio .","Perdeu o autorrespeito e o amor .","Desenvolva mais próprio , cure suas inseguranças .","Desenvolva mais amor , cure suas inseguranças ."
"ano-novo","Esse ano , estarei embarcada Natal e novo .","Esse ano , estarei embarcada Natal e ano .","Esta é a minha decisão de novo .","Esta é a minha decisão de ano .","Esta é minha principal resolução de novo .","Esta é minha principal resolução de ano ."
"ar condicionado","Aparelhos de condicionado são desligados .","Aparelhos de ar são desligados .","Alguns ônibus tem condicionado .","Alguns ônibus tem ar .","Existe condicionado em todos os quartos .","Existe ar em todos os quartos ."
