"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"bankruptcy proceeding","the official receivers costs take priority over sums due to a trustee in the bankruptcy .","the official receivers costs take priority over sums due to a trustee in the proceedings .","geoffrey richmond was today the subject of bankruptcy at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .","geoffrey richmond was today the subject of proceedings at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .","they are aware that funds / assets in the bankruptcy cannot be made available for the payment of their fees .","they are aware that funds / assets in the proceedings cannot be made available for the payment of their fees ."
"black operation","on the one hand the cia acquired $ 4 billion for use in future black .","on the one hand the cia acquired $ 4 billion for use in future operations .","israel has been running its own black with the help of kurds it has trained .","israel has been running its own operations with the help of kurds it has trained .","lansdale ' s job was to provide "" actors "" for certain black deployed by the covert operatives .","lansdale ' s job was to provide "" actors "" for certain operations deployed by the covert operatives ."
"field work","field and practical archaeology are a particular focus .","work and practical archaeology are a particular focus .","the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future field .","the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future work .","he spent time on the island carrying out field for his book","he spent time on the island carrying out work for his book"
"marketing consultant","our marketing have many years experience in helping businesses market their products and services more effectively .","our consultants have many years experience in helping businesses market their products and services more effectively .","full account management service with an experienced web marketing to optimise the programme and maximise returns .","full account management service with an experienced web consultant to optimise the programme and maximise returns .","author of two books , she now works as a freelance writer and marketing and lives in dartington , devon .","author of two books , she now works as a freelance writer and consultant and lives in dartington , devon ."
"box office","arguably the king of comedy for the last ten years , jim carrey is box gold .","arguably the king of comedy for the last ten years , jim carrey is office gold .","angel heart was a critical and box success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .","angel heart was a critical and office success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .","as a movie , it would be forgettable , but the social furore has guaranteed box buoyancy and discussion .","as a movie , it would be forgettable , but the social furore has guaranteed office buoyancy and discussion ."
"noise complaint","some of the noise i get relate to incoming planes .","some of the complaints i get relate to incoming planes .","however , in the absence of noise , it had to be concluded that there was no serious source of noise emanating from the premises .","however , in the absence of complaints , it had to be concluded that there was no serious source of noise emanating from the premises .","the council ' s noise service investigate a wide range of noise from a variety of sources .","the council ' s noise service investigate a wide range of complaints from a variety of sources ."
"pipe dream","the party ' s vision of an independent , socialist scotland is fast becoming a pipe .","the party ' s vision of an independent , socialist scotland is fast becoming a dream .","are these plans the pipe of self - aggrandising bureaucrats ?","are these plans the dreams of self - aggrandising bureaucrats ?","the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a pipe .","the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a dream ."
"honey trap","by planting a local weed ( napier grass ) , pests are lured away from the corn into a honey .","by planting a local weed ( napier grass ) , pests are lured away from the corn into a trap .","prices are what you would expect in a tourist honey .","prices are what you would expect in a tourist trap .","the son of the cabinet minister was at the centre of a cannabis honey .","the son of the cabinet minister was at the centre of a cannabis trap ."
"acid test","on the fate of the acle straight within weeks . this is seen as an acid of the government ' s commitment to protecting our most valuable environments ( 3 ) .","on the fate of the acle straight within weeks . this is seen as an test of the government ' s commitment to protecting our most valuable environments ( 3 ) .","such markers ' whilst being ungodly even , unconverted underneath . the acid of how i am spiritually is not those externals but the character - change worked by jesus","such markers ' whilst being ungodly even , unconverted underneath . the test of how i am spiritually is not those externals but the character - change worked by jesus",". they suggest a and having absorbed alcohol is concerned . wall street is kool - aid acid life as an in the midst . with ethical problems institute author sells big new",". they suggest a and having absorbed alcohol is concerned . wall street is kool - aid test life as an in the midst . with ethical problems institute author sells big new"
"case study","meeting this standard in their teaching , the analysis of , for example , video - based case of pupils for whom english is an additional language or the preparation of resources might","meeting this standard in their teaching , the analysis of , for example , video - based studies of pupils for whom english is an additional language or the preparation of resources might","cope . analysis of capacity issues in central government chapter 9 draws both on the case and on wider information from interviews to identify the factors affecting capacity to manage water","cope . analysis of capacity issues in central government chapter 9 draws both on the studies and on wider information from interviews to identify the factors affecting capacity to manage water","high performing leader and demonstrates how to sustain competitive advantage in business . this unique case considers research into personal and management competencies , emotional intelligence , motivation and team dynamics","high performing leader and demonstrates how to sustain competitive advantage in business . this unique study considers research into personal and management competencies , emotional intelligence , motivation and team dynamics"
