"compound","compositionality","sentence1","sentence2","sentence3"
"bankruptcy proceeding","4.78","the official receivers costs take priority over sums due to a trustee in the bankruptcy proceedings .","geoffrey richmond was today the subject of bankruptcy proceedings at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .","they are aware that funds / assets in the bankruptcy proceedings cannot be made available for the payment of their fees ."
"black operation","1.39","on the one hand the cia acquired $ 4 billion for use in future black operations .","israel has been running its own black operations with the help of kurds it has trained .","lansdale ' s job was to provide "" actors "" for certain black operations deployed by the covert operatives ."
"field work","2.1","field work and practical archaeology are a particular focus .","the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future field work .","he spent time on the island carrying out field work for his book"
"marketing consultant",4,"our marketing consultants have many years experience in helping businesses market their products and services more effectively .","full account management service with an experienced web marketing consultant to optimise the programme and maximise returns .","author of two books , she now works as a freelance writer and marketing consultant and lives in dartington , devon ."
"box office","0.88","arguably the king of comedy for the last ten years , jim carrey is box office gold .","angel heart was a critical and box office success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .","as a movie , it would be forgettable , but the social furore has guaranteed box office buoyancy and discussion ."
"noise complaint","4.52","some of the noise complaints i get relate to incoming planes .","however , in the absence of noise complaints , it had to be concluded that there was no serious source of noise emanating from the premises .","the council ' s noise service investigate a wide range of noise complaints from a variety of sources ."
"pipe dream","0.91","the party ' s vision of an independent , socialist scotland is fast becoming a pipe dream .","are these plans the pipe dreams of self - aggrandising bureaucrats ?","the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a pipe dream ."
"honey trap","1.22","by planting a local weed ( napier grass ) , pests are lured away from the corn into a honey trap .","prices are what you would expect in a tourist honey trap .","the son of the cabinet minister was at the centre of a cannabis honey trap ."
"acid test","1.22","on the fate of the acle straight within weeks . this is seen as an acid test of the government ' s commitment to protecting our most valuable environments ( 3 ) .","such markers ' whilst being ungodly even , unconverted underneath . the acid test of how i am spiritually is not those externals but the character - change worked by jesus",". they suggest a and having absorbed alcohol is concerned . wall street is kool - aid acid test life as an in the midst . with ethical problems institute author sells big new"
"case study","3.7","meeting this standard in their teaching , the analysis of , for example , video - based case studies of pupils for whom english is an additional language or the preparation of resources might","cope . analysis of capacity issues in central government chapter 9 draws both on the case studies and on wider information from interviews to identify the factors affecting capacity to manage water","high performing leader and demonstrates how to sustain competitive advantage in business . this unique case study considers research into personal and management competencies , emotional intelligence , motivation and team dynamics"
"chain reaction","2.93","more modern methods are used to amplify portions of dna , typified by the polymerase chain reaction ( pcr ) . the use of dna sequencing has rendered distance measures such as","in such a tense situation even a small little incident can result in a chain reaction which nobody will be able to control . a major conflict could","but the water in those seas would have been cool enough to allow the chemical chain reactions required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
"ancient history","1.95","things that happened almost a year ago is ancient history .","the days of triple - digit growth now seem like ancient history .","so be brave , be ready to change your views or be ancient history ."
"china clay","3.85","the ' lunar ' qualities of the landscape , dramatically shaped by the working of china clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green",", turning newquay from a fishing to a commodity port loading tin , lead and china clay . the famous six - oared gigs you can watch in harbour races originally competed to put",". prepare to be astounded by the scale of this attraction built in an old china clay pit . local attractions : * golf - reduced fee * tennis * 1 mile"
"divine service","3.11","thus the church was filled with people before divine service began .","by the 19th century , parishioners attended divine service with umbrellas .","after restoration in 1876 and again in 1905 , the building re - opened for divine service ."
"economic aid","4.33","we have already extended to greece certain types of relief and economic aid but these are inadequate .","the ussr was soon giving cuba economic aid , technical support and military ' advisers ' from the ussr .","a government ' s success in reducing population movement should be a key factor in allocating economic aid ."
"lip service","1.62",". "" when we advocate sustainable development of air transport , we are not paying lip service to the environment , rather we are calling for a comprehensive set of measures to","of course , the same in this country . the tory right has also paid lip service to morality and not delivered . nor are things better now under the democratic left","the separation was a polite fiction , the financial houses at least had to pay lip service to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under"
