"compound","neutral sentence","mwe synonym"
"bankruptcy proceeding","This is a bankruptcy proceeding","This is a court case"
"black operation","This is a black operation","This is a secret operation"
"field work","This is a field work","This is a research"
"marketing consultant","This is a marketing consultant","This is a Sales Advisor"
"box office","This is a box office","This is a movie industry"
"noise complaint","This is a noise complaint","This is a protest"
"pipe dream","This is a pipe dream","This is an unrealistic"
"honey trap","This is a honey trap","This is a lure"
"acid test","This is an acid test","This is a crucial appraisal"
"case study","This is a case study","This is a study"
"chain reaction","This is a chain reaction","This is a series of reactions"
"ancient history","This is an ancient history","This is a history"
"china clay","This is a china clay","This is a fine clay"
"divine service","This is a divine service","This is a religious service"
"economic aid","This is an economic aid","This is a financial assistance"
"lip service","This is a lip service","This is an insincere agreement"
"mail service","This is a mail service","This is a postal service"
"computer expert","This is a computer expert","This is a computer specialist"
"cable car","This is a cable car","This is a trolley"
"panda car","This is a panda car","This is a police car"
"credit card","This is a credit card","This is a monetary card"
"basket case","This is a basket case","This is a crazy person"
"life belt","This is a life belt","This is a flotation devise"
"rock bottom","This is a rock bottom","This is a lowest point"
"swimming pool","This is a swimming pool","This is a pool"
"public service","This is a public service","This is a governmental service"
"sitting duck","This is a sitting duck","This is a victim"
"balance sheet","This is a balance sheet","This is a financial record"
"cheat sheet","This is a cheat sheet","This is a quick reference"
"black cherry","This is a black cherry","This is a cherry"
"guinea pig","This is a guinea pig","This is a test subject"
"human being","This is a human being","This is a person"
"milk tooth","This is a milk tooth","This is a baby tooth"
"cutting edge","This is a cutting edge","This is an innovation"
"fine line","This is a fine line","This is a subtle difference"
"firing line","This is a firing line","This is a shooting line"
"speed limit","This is a speed limit","This is a maximum speed"
"sacred cow","This is a sacred cow","This is an immune person"
"fall guy","This is a fall guy","This is a scapegoat"
"street girl","This is a street girl","This is a prostitute"
"Dutch courage","This is a Dutch courage","This is an alcoholic courage"
"eternal rest","This is an eternal rest","This is a death"
"half sister","This is a half sister","This is a step sister"
"labour union","This is a labour union","This is a workers union"
"cash cow","This is a cash cow","This is an easy income"
"busy bee","This is a busy bee","This is a busy person"
"spelling bee","This is a spelling bee","This is a spelling contest"
"law firm","This is a law firm","This is a lawyer"
"call centre","This is a call centre","This is an answering service"
"white noise","This is a white noise","This is a static"
"benign tumour","This is a benign tumour","This is a noncancerous tumour"
"job fair","This is a job fair","This is a career expo"
"baby buggy","This is a baby buggy","This is a pram"
"pillow slip","This is a pillow slip","This is a pillow case"
"dirty money","This is a dirty money","This is an illegal money"
"day shift","This is a day shift","This is a daytime work"
"graveyard shift","This is a graveyard shift","This is a night shift"
"head hunter","This is a head hunter","This is a recruiter"
"traffic control","This is a traffic control","This is a transportation management"
"backroom boy","This is a backroom boy","This is an assistant"
"old timer","This is an old timer","This is a veterans"
"brass ring","This is a brass ring","This is a prize"
"ghost town","This is a ghost town","This is an abandoned town"
"close call","This is a close call","This is a scary situation"
"wet blanket","This is a wet blanket","This is a loser"
"smoking jacket","This is a smoking jacket","This is a formal jacket"
"wedding anniversary","This is a wedding anniversary","This is a marriage celebration"
"banana republic","This is a banana republic","This is a chaotic government"
"hen party","This is a hen party","This is a bachelorette party"
"news agency","This is a news agency","This is a press agency"
"rat race","This is a rat race","This is an exhausting routine"
"radioactive material","This is a radioactive material","This is a hazardous substance"
"love song","This is a love song","This is a romantic music"
"dead end","This is a dead end","This is a road end"
"world conference","This is a world conference","This is a global meeting"
"insurance policy","This is an insurance policy","This is a contract"
"cooking stove","This is a cooking stove","This is a range"
"cocktail dress","This is a cocktail dress","This is a formal dress"
"disability insurance","This is a disability insurance","This is a disability assistance"
"social insurance","This is a social insurance","This is a government assistance"
"con artist","This is a con artist","This is a swindler"
"heavy cross","This is a heavy cross","This is a burden"
"brain drain","This is a brain drain","This is a loss of intellectuals"
"end user","This is an end user","This is a user"
"silver spoon","This is a silver spoon","This is a rich life"
"dust storm","This is a dust storm","This is a sand storm"
"sugar daddy","This is a sugar daddy","This is a benefactor"
"stag night","This is a stag night","This is a bachelor party"
"information age","This is an information age","This is a digital era"
"wedding day","This is a wedding day","This is a marriage date"
"ground floor","This is a ground floor","This is a ground level"
"prison guard","This is a prison guard","This is a prison warden"
"baby blues","This is a baby blues","This is a depression"
"peace talk","This is a peace talk","This is a negotiation"
"beauty sleep","This is a beauty sleep","This is a nap"
"fresh water","This is a fresh water","This is a clean water"
"sparkling water","This is a sparkling water","This is a carbonated water"
"hard shoulder","This is a hard shoulder","This is an emergency lane"
"brain teaser","This is a brain teaser","This is a hard problem"
"role model","This is a role model","This is an inspiration"
"sex bomb","This is a sex bomb","This is a sexy person"
"fairy tale","This is a fairy tale","This is an enchanted story"
"silver lining","This is a silver lining","This is a good side"
"bad hat","This is a bad hat","This is a trouble maker"
"old hat","This is an old hat","This is an old fashioned"
"music festival","This is a music festival","This is a shows"
"old flame","This is an old flame","This is a past lover"
"damp squib","This is a damp squib","This is a failure"
"loan shark","This is a loan shark","This is a money lender"
"narrow escape","This is a narrow escape","This is a close call"
"noble gas","This is a noble gas","This is a chemical element"
"nest egg","This is a nest egg","This is a monetary fund"
"spinning jenny","This is a spinning jenny","This is a machine"
"fair play","This is a fair play","This is an integrity"
"polo shirt","This is a polo shirt","This is a shirt"
"contact lens","This is a contact lens","This is an eye lens"
"big cheese","This is a big cheese","This is an important person"
"dry land","This is a dry land","This is a land"
"best man","This is a best man","This is a groomsman"
"entrance hall","This is an entrance hall","This is a front hall"
"white spirit","This is a white spirit","This is a cleaning liquid"
"blue blood","This is a blue blood","This is a noble"
