"compound","neutral sentence","head only","modifier only"
"bankruptcy proceeding","This is a bankruptcy proceeding","This is a proceeding","This is a bankruptcy"
"black operation","This is a black operation","This is an operation","This is a black"
"field work","This is a field work","This is a work","This is a field"
"marketing consultant","This is a marketing consultant","This is a consultant","This is a marketing"
"box office","This is a box office","This is an office","This is a box"
"noise complaint","This is a noise complaint","This is a complaint","This is a noise"
"pipe dream","This is a pipe dream","This is a dream","This is a pipe"
"honey trap","This is a honey trap","This is a trap","This is a honey"
"acid test","This is an acid test","This is a test","This is an acid"
"case study","This is a case study","This is a study","This is a case"
"chain reaction","This is a chain reaction","This is a reaction","This is a chain"
"ancient history","This is an ancient history","This is a history","This is an ancient"
"china clay","This is a china clay","This is a clay","This is a china"
"divine service","This is a divine service","This is a service","This is a divine"
"economic aid","This is an economic aid","This is an aid","This is an economic"
"lip service","This is a lip service","This is a service","This is a lip"
"mail service","This is a mail service","This is a service","This is a mail"
"computer expert","This is a computer expert","This is an expert","This is a computer"
"cable car","This is a cable car","This is a car","This is a cable"
"panda car","This is a panda car","This is a car","This is a panda"
"credit card","This is a credit card","This is a card","This is a credit"
"basket case","This is a basket case","This is a case","This is a basket"
"life belt","This is a life belt","This is a belt","This is a life"
"rock bottom","This is a rock bottom","This is a bottom","This is a rock"
"swimming pool","This is a swimming pool","This is a pool","This is a swimming"
"public service","This is a public service","This is a service","This is a public"
"sitting duck","This is a sitting duck","This is a duck","This is a sitting"
"balance sheet","This is a balance sheet","This is a sheet","This is a balance"
"cheat sheet","This is a cheat sheet","This is a sheet","This is a cheat"
"black cherry","This is a black cherry","This is a cherry","This is a black"
"guinea pig","This is a guinea pig","This is a pig","This is a guinea"
"human being","This is a human being","This is a being","This is a human"
"milk tooth","This is a milk tooth","This is a tooth","This is a milk"
"cutting edge","This is a cutting edge","This is an edge","This is a cutting"
"fine line","This is a fine line","This is a line","This is a fine"
"firing line","This is a firing line","This is a line","This is a firing"
"speed limit","This is a speed limit","This is a limit","This is a speed"
"sacred cow","This is a sacred cow","This is a cow","This is a sacred"
"fall guy","This is a fall guy","This is a guy","This is a fall"
"street girl","This is a street girl","This is a girl","This is a street"
"Dutch courage","This is a Dutch courage","This is a courage","This is a Dutch"
"eternal rest","This is an eternal rest","This is a rest","This is an eternal"
"half sister","This is a half sister","This is a sister","This is a half"
"labour union","This is a labour union","This is a union","This is a labour"
"cash cow","This is a cash cow","This is a cow","This is a cash"
"busy bee","This is a busy bee","This is a bee","This is a busy"
"spelling bee","This is a spelling bee","This is a bee","This is a spelling"
"law firm","This is a law firm","This is a firm","This is a law"
"call centre","This is a call centre","This is a centre","This is a call"
"white noise","This is a white noise","This is a noise","This is a white"
"benign tumour","This is a benign tumour","This is a tumour","This is a benign"
"job fair","This is a job fair","This is a fair","This is a job"
"baby buggy","This is a baby buggy","This is a buggy","This is a baby"
"pillow slip","This is a pillow slip","This is a slip","This is a pillow"
"dirty money","This is a dirty money","This is a money","This is a dirty"
"day shift","This is a day shift","This is a shift","This is a day"
"graveyard shift","This is a graveyard shift","This is a shift","This is a graveyard"
"head hunter","This is a head hunter","This is a hunter","This is a head"
"traffic control","This is a traffic control","This is a control","This is a traffic"
"backroom boy","This is a backroom boy","This is a boy","This is a backroom"
"old timer","This is an old timer","This is a timer","This is an old"
"brass ring","This is a brass ring","This is a ring","This is a brass"
"ghost town","This is a ghost town","This is a town","This is a ghost"
"close call","This is a close call","This is a call","This is a close"
"wet blanket","This is a wet blanket","This is a blanket","This is a wet"
"smoking jacket","This is a smoking jacket","This is a jacket","This is a smoking"
"wedding anniversary","This is a wedding anniversary","This is an anniversary","This is a wedding"
"banana republic","This is a banana republic","This is a republic","This is a banana"
"hen party","This is a hen party","This is a party","This is a hen"
"news agency","This is a news agency","This is an agency","This is a news"
"rat race","This is a rat race","This is a race","This is a rat"
"radioactive material","This is a radioactive material","This is a material","This is a radioactive"
"love song","This is a love song","This is a song","This is a love"
"dead end","This is a dead end","This is an end","This is a dead"
"world conference","This is a world conference","This is a conference","This is a world"
"insurance policy","This is an insurance policy","This is a policy","This is an insurance"
"cooking stove","This is a cooking stove","This is a stove","This is a cooking"
"cocktail dress","This is a cocktail dress","This is a dress","This is a cocktail"
"disability insurance","This is a disability insurance","This is an insurance","This is a disability"
"social insurance","This is a social insurance","This is an insurance","This is a social"
"con artist","This is a con artist","This is an artist","This is a con"
"heavy cross","This is a heavy cross","This is a cross","This is a heavy"
"brain drain","This is a brain drain","This is a drain","This is a brain"
"end user","This is an end user","This is a user","This is an end"
"silver spoon","This is a silver spoon","This is a spoon","This is a silver"
"dust storm","This is a dust storm","This is a storm","This is a dust"
"sugar daddy","This is a sugar daddy","This is a daddy","This is a sugar"
"stag night","This is a stag night","This is a night","This is a stag"
"information age","This is an information age","This is an age","This is an information"
"wedding day","This is a wedding day","This is a day","This is a wedding"
"ground floor","This is a ground floor","This is a floor","This is a ground"
"prison guard","This is a prison guard","This is a guard","This is a prison"
"baby blues","This is a baby blues","This is a blues","This is a baby"
"peace talk","This is a peace talk","This is a talk","This is a peace"
"beauty sleep","This is a beauty sleep","This is a sleep","This is a beauty"
"fresh water","This is a fresh water","This is a water","This is a fresh"
"sparkling water","This is a sparkling water","This is a water","This is a sparkling"
"hard shoulder","This is a hard shoulder","This is a shoulder","This is a hard"
"brain teaser","This is a brain teaser","This is a teaser","This is a brain"
"role model","This is a role model","This is a model","This is a role"
"sex bomb","This is a sex bomb","This is a bomb","This is a sex"
"fairy tale","This is a fairy tale","This is a tale","This is a fairy"
"silver lining","This is a silver lining","This is a lining","This is a silver"
"bad hat","This is a bad hat","This is a hat","This is a bad"
"old hat","This is an old hat","This is a hat","This is an old"
"music festival","This is a music festival","This is a festival","This is a music"
"old flame","This is an old flame","This is a flame","This is an old"
"damp squib","This is a damp squib","This is a squib","This is a damp"
"loan shark","This is a loan shark","This is a shark","This is a loan"
"narrow escape","This is a narrow escape","This is an escape","This is a narrow"
"noble gas","This is a noble gas","This is a gas","This is a noble"
"nest egg","This is a nest egg","This is an egg","This is a nest"
"spinning jenny","This is a spinning jenny","This is a jenny","This is a spinning"
"fair play","This is a fair play","This is a play","This is a fair"
