"compound","neutral sentence","both synonyms"
"bankruptcy proceeding","This is a bankruptcy proceeding","This is a default action"
"black operation","This is a black operation","This is a dark action"
"field work","This is a field work","This is an area activity"
"marketing consultant","This is a marketing consultant","This is a merchandising advisor"
"box office","This is a box office","This is a crate agency"
"noise complaint","This is a noise complaint","This is a disturbance ailment"
"pipe dream","This is a pipe dream","This is a tube ambition"
"honey trap","This is a honey trap","This is a sweetener ambush"
"acid test","This is an acid test","This is a sour analysis"
"case study","This is a case study","This is an instance analysis"
"chain reaction","This is a chain reaction","This is a succession answer"
"ancient history","This is an ancient history","This is a past antiquity"
"china clay","This is a china clay","This is an asia argil"
"divine service","This is a divine service","This is a celestial assistance"
"economic aid","This is an economic aid","This is a budgetary assistance"
"lip service","This is a lip service","This is a mouth assistance"
"mail service","This is a mail service","This is a post assistance"
"computer expert","This is a computer expert","This is a workstation authority"
"cable car","This is a cable car","This is a cord automobile"
"panda car","This is a panda car","This is a bear automobile"
"credit card","This is a credit card","This is a balance badge"
"basket case","This is a basket case","This is a crate bag"
"life belt","This is a life belt","This is an existence band"
"rock bottom","This is a rock bottom","This is a mineral basement"
"swimming pool","This is a swimming pool","This is a floating bath"
"public service","This is a public service","This is an open benefit"
"sitting duck","This is a sitting duck","This is a posing bird"
"balance sheet","This is a balance sheet","This is a residue blanket"
"cheat sheet","This is a cheat sheet","This is a trick blanket"
"black cherry","This is a black cherry","This is a dark blueberry"
"guinea pig","This is a guinea pig","This is an ethnicity boar"
"human being","This is a human being","This is a person body"
"milk tooth","This is a milk tooth","This is a liquid bone"
"cutting edge","This is a cutting edge","This is an incisive boundary"
"fine line","This is a fine line","This is a mulct boundary"
"firing line","This is a firing line","This is a fire boundary"
"speed limit","This is a speed limit","This is a velocity boundary"
"sacred cow","This is a sacred cow","This is a divine bovine"
"fall guy","This is a fall guy","This is a drop boy"
"street girl","This is a street girl","This is an avenue boy"
"Dutch courage","This is a Dutch courage","This is a Hollander bravery"
"eternal rest","This is an eternal rest","This is a permanent break"
"half sister","This is a half sister","This is an incomplete brother"
"labour union","This is a labour union","This is a toil brotherhood "
"cash cow","This is a cash cow","This is a money bullock"
"busy bee","This is a busy bee","This is an unavailable bumblebee"
"spelling bee","This is a spelling bee","This is an ortographic bumblebee"
"law firm","This is a law firm","This is a jurisprudence business"
"call centre","This is a call centre","This is a ring buzz"
"white noise","This is a white noise","This is a clear buzz"
"benign tumour","This is a benign tumour","This is a benevolent carcinoma"
"job fair","This is a job fair","This is a work carnival"
"baby buggy","This is a baby buggy","This is a child cart"
"pillow slip","This is a pillow slip","This is a cushion case"
"dirty money","This is a dirty money","This is a smutty cash"
"day shift","This is a day shift","This is a period change"
"graveyard shift","This is a graveyard shift","This is a cemetery change"
"head hunter","This is a head hunter","This is a brain chaser"
"traffic control","This is a traffic control","This is a influx check"
"backroom boy","This is a backroom boy","This is a campaigning child"
"old timer","This is an old timer","This is an antique chronometer"
"brass ring","This is a brass ring","This is a metal circlet"
"ghost town","This is a ghost town","This is a spectre city"
"close call","This is a close call","This is a near claim"
"wet blanket","This is a wet blanket","This is a damp cloak"
"smoking jacket","This is a smoking jacket","This is a smoky coat"
"wedding anniversary","This is a wedding anniversary","This is a marriage commemoration"
"banana republic","This is a banana republic","This is a fruit commonwealth"
"hen party","This is a hen party","This is a chicken company"
"news agency","This is a news agency","This is a message company"
"rat race","This is a rat race","This is a mouse competition"
"radioactive material","This is a radioactive material","This is a dangerous component"
